香港,#genre#

凤凰中文,https://2552.xukzhao.eu.org/tv/php/fh.php?id=2
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰中文,https://2552.xukzhao.eu.org/tv/php/hk.php?id=zw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰中文,http://162.62.120.19/qctv.fengshows.cn/live/0701pcc72.flv



凤凰资讯,https://2552.xukzhao.eu.org/tv/php/hk.php?id=zx
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,https://2552.xukzhao.eu.org/tv/php/fh.php?id=1
凤凰资讯,http://162.62.120.19/qctv.fengshows.cn/live/0701pin72.flv
凤凰资讯,https://cdn3.163189.xyz/live/fhzx/stream.m3u8


凤凰香港,https://2552.xukzhao.eu.org/tv/php/hk.php?id=hk
凤凰香港,https://2552.xukzhao.eu.org/tv/php/hk2.php
凤凰香港,https://2552.xukzhao.eu.org/tv/php/fh.php?id=3
凤凰香港,http://162.62.120.19/qctv.fengshows.cn/live/0701phk72.flv


翡翠台,https://live.cdn.com.mp/live/fct/stream.m3u8
翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
翡翠台,https://cdn3.163189.xyz/live/fct/stream.m3u8
翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
翡翠台,https://smt.cdn6.rr.nu/smt3.2.1.php?id=jade_twn
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4


无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
无线新闻,http://aktv-stream.m16tv.cfd/stream/aktv2/null-1/AKTV.m3u8


无线星河,http://php.jdshipin.com:8880/PLTV/iptv.php?id=xinghe
无线星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
无线星河,http://ali.hlspull.yximgs.com/live/hp2keozt_akllkuyterwgebfns.flv
无线星河,http://ali.hlspull.yximgs.com/live/hp2keozt_wertyyuhjgfdscxvc.flv


J2,http://php.jdshipin.com:8880/PLTV/iptv.php?id=j2
J2,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j2

香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv

